Day,Month,Year,soil_moisture,Probe
6,2,2014,83.67,20916
6,3,2013,29.70305556,20916
6,4,2013,43.87611111,20916
6,5,2013,77.32666667,20916
6,6,2013,76.26736111,20916
6,7,2013,74.64631944,20916
6,8,2013,73.46902778,20916
6,9,2013,41.49388889,20916
6,10,2012,41.12840278,20916
6,10,2013,72.38333333,20916
6,11,2012,41.34111111,20916
6,11,2013,72.81750267,20916
6,12,2012,41.66534722,20916
6,12,2013,79.36333333,20916
7,1,2013,41.96895833,20916
7,1,2014,84.52618056,20916
7,2,2013,29.23590278,20916
7,2,2014,85.21576389,20916
7,3,2013,29.69972222,20916
7,4,2013,43.85625,20916
7,5,2013,77.28798611,20916
7,6,2013,76.19416667,20916
7,7,2013,74.60180556,20916
7,8,2013,73.443125,20916
7,9,2013,41.4675,20916
7,10,2012,41.16375,20916
7,10,2013,72.17743056,20916
7,11,2012,41.350625,20916
7,11,2013,71.89118714,20916
7,12,2012,41.67993056,20916
8,1,2013,41.96,20916
8,1,2014,82.49558333,20916
8,2,2013,29.27027778,20916
8,2,2014,85.35576389,20916
8,3,2013,29.70055556,20916
8,4,2013,43.83805556,20916
8,5,2013,77.23208333,20916
8,6,2013,76.13986111,20916
8,7,2013,74.58631944,20916
8,8,2013,73.44652778,20916
8,9,2013,41.44784722,20916
8,10,2012,41.18923611,20916
8,10,2013,72.04368056,20916
8,11,2012,41.35840278,20916
8,11,2013,73.43042299,20916
8,12,2012,41.68388889,20916
8,12,2013,80.18930501,20916
9,1,2013,41.97277778,20916
9,2,2013,29.30347222,20916
9,2,2014,84.80833333,20916
9,3,2013,29.69638889,20916
9,4,2013,43.82659722,20916
9,5,2013,77.18861111,20916
9,6,2013,76.08645833,20916
9,7,2013,74.565,20916
9,8,2013,73.45465278,20916
9,9,2013,41.44798611,20916
9,10,2012,41.22243056,20916
9,10,2013,72.08,20916
9,11,2012,41.37333333,20916
9,11,2013,72.43978511,20916
9,12,2012,41.69020833,20916
9,12,2013,55.61,20916
10,1,2013,41.98569444,20916
10,1,2014,80.20924242,20916
10,2,2013,29.33416667,20916
10,2,2014,84.26909722,20916
10,3,2013,29.703125,20916
10,4,2013,43.82014493,20916
10,5,2013,77.17659722,20916
10,6,2013,76.02041667,20916
10,7,2013,74.53694444,20916
10,8,2013,73.38055556,20916
10,9,2013,41.43361111,20916
10,10,2012,41.24979167,20916
10,10,2013,72.16187802,20916
10,11,2012,41.38159722,20916
10,11,2013,73.00595608,20916
10,12,2012,41.70159722,20916
10,12,2013,40.04666667,20916
11,1,2013,41.98895833,20916
11,1,2014,79.81284722,20916
11,2,2013,29.37041667,20916
11,2,2014,84.05784722,20916
11,3,2013,29.718125,20916
11,4,2013,43.80215278,20916
11,5,2013,77.20666667,20916
11,6,2013,75.98118056,20916
11,7,2013,74.48243056,20916
11,8,2013,73.36104167,20916
11,9,2013,41.43402778,20916
11,10,2012,41.25958333,20916
11,10,2013,72.16611111,20916
11,11,2012,41.37243056,20916
11,11,2013,72.00221467,20916
11,12,2012,41.71416667,20916
11,12,2013,79.06705815,20916
12,1,2013,42.00423611,20916
12,1,2014,79.69493056,20916
12,2,2013,29.40006944,20916
12,2,2014,83.95583333,20916
12,3,2013,29.73256944,20916
12,4,2013,43.80173611,20916
12,5,2013,77.20875,20916
12,6,2013,75.88659722,20916
12,7,2013,74.42673611,20916
12,8,2013,73.36118056,20916
12,9,2012,40.25205128,20916
12,9,2013,41.41416667,20916
12,10,2012,41.27125,20916
12,10,2013,72.35462862,20916
12,11,2012,41.37993056,20916
12,11,2013,71.8803038,20916
12,12,2012,41.71152778,20916
12,12,2013,79.32212121,20916
13,1,2013,42.008125,20916
13,1,2014,79.79222222,20916
13,2,2013,29.43111111,20916
13,3,2013,29.73048611,20916
13,4,2013,43.79368056,20916
13,5,2013,77.18569444,20916
13,6,2013,75.84395833,20916
13,7,2013,74.35583725,20916
13,8,2013,73.33201389,20916
13,9,2012,40.28666667,20916
13,9,2013,41.43888889,20916
13,10,2012,41.27402778,20916
13,10,2013,72.01923611,20916
13,11,2012,41.38840278,20916
13,11,2013,71.91239898,20916
13,12,2012,41.71930556,20916
13,12,2013,79.38,20916
14,1,2013,42.00534722,20916
14,1,2014,79.93611111,20916
14,2,2013,29.46236111,20916
14,3,2013,43.96301136,20916
14,4,2013,43.79354167,20916
14,5,2013,77.13256944,20916
14,6,2013,75.80414303,20916
14,7,2013,74.32375,20916
14,8,2013,73.30340278,20916
14,9,2012,40.32291667,20916
14,9,2013,41.43763889,20916
14,10,2012,41.27694444,20916
14,10,2013,71.84875,20916
14,11,2012,41.39888889,20916
14,11,2013,72.53937591,20916
14,12,2012,41.71319444,20916
14,12,2013,78.94304073,20916
15,1,2013,45.49277778,20916
15,1,2014,80.018125,20916
15,2,2013,29.48951389,20916
15,3,2013,43.95076389,20916
15,4,2013,43.78451389,20916
15,5,2013,77.10486111,20916
15,6,2013,75.72979167,20916
15,7,2013,74.30201389,20916
15,8,2013,73.28805556,20916
15,9,2012,40.36541667,20916
15,9,2013,41.43930556,20916
15,10,2012,41.27444444,20916
